#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
0	3	3	2	0
0	4	3	2	0
0	8	3	2	0
0	9	3	2	0
0	17	3	2	0
0	26	3	2	0
0	27	3	2	0
0	31	3	3	0
0	32	3	1	0
0	35	3	2	0
0	36	3	2	0
0	37	3	3	0
0	38	3	1	0
0	40	3	1	0
0	41	3	3	0
0	45	3	3	0
0	46	3	1	0
0	48	3	2	0
0	49	3	2	0
0	57	3	3	0
0	62	3	2	0
0	63	3	1	0
0	65	3	3	0
0	66	3	1	0
0	72	3	3	0
0	73	3	1	0
0	74	3	3	0
0	76	3	1	0
0	79	3	1	0
0	80	3	3	0
0	84	3	3	0
0	85	3	1	0
0	86	3	3	0
0	87	3	1	0
0	92	3	1	0
0	93	3	3	0
0	94	3	2	0
0	96	3	1	0
0	99	3	1	0
0	102	3	3	0
0	104	3	1	0
0	105	3	3	0
0	106	3	1	0
0	107	3	3	0
0	108	3	1	0
0	113	3	3	0
0	114	3	1	0
0	115	3	3	0
0	116	3	1	0
0	117	3	3	0
0	118	3	1	0
0	119	3	3	0
0	120	3	1	0
0	121	3	3	0
0	122	3	1	0
0	123	3	3	0
0	124	3	1	0
0	126	3	3	0
0	127	3	1	0
0	128	3	3	0
0	129	3	1	0
0	130	3	3	0
0	131	3	1	0
0	136	3	2	0
0	137	3	2	0
0	138	3	1	0
0	139	3	3	0
0	140	3	2	0
0	141	3	2	0
0	144	3	3	0
0	145	3	1	0
0	146	3	1	0
0	148	3	3	0
0	151	3	2	0
0	152	3	2	0
0	157	3	1	0
0	159	3	2	0
0	160	3	3	0
0	161	3	1	0
0	163	3	2	0
0	164	3	1	0
0	165	3	3	0
0	166	3	3	0
0	167	3	1	0
0	168	3	1	0
0	169	3	2	0
0	170	3	2	0
0	171	3	2	0
0	172	3	2	0
0	173	3	3	0
0	174	3	1	0
0	178	3	3	0
0	179	3	1	0
0	180	3	2	0
0	181	3	2	0
0	182	3	1	0
0	183	3	3	0
0	188	3	3	0
0	189	3	1	0
0	194	3	3	0
0	195	3	1	0
0	196	3	1	0
0	197	3	3	0
0	198	3	3	0
0	199	3	1	0
0	205	3	2	0
0	207	3	2	0
0	208	3	2	0
0	209	3	2	0
0	210	3	2	0
0	221	3	3	0
0	222	3	1	0
0	227	3	3	0
0	228	3	1	0
1	3	3	5	0
1	4	3	4	0
1	5	3	4	0
1	6	3	12	0
1	7	3	1	0
1	8	3	6	0
1	9	3	7	0
1	10	3	9	0
1	11	3	3	0
1	12	3	1	0
1	13	3	8	0
1	14	3	4	0
1	18	3	8	0
1	19	3	5	0
1	20	3	11	0
1	22	3	11	0
1	23	3	2	0
1	24	3	12	0
1	25	3	1	0
1	26	3	4	0
1	27	3	9	0
1	28	3	8	0
1	29	3	5	0
1	31	3	10	0
1	32	3	3	0
1	33	3	8	0
1	34	3	5	0
1	35	3	3	0
1	36	3	10	0
1	37	3	6	0
1	38	3	6	0
1	40	3	7	0
1	41	3	6	0
1	42	3	8	0
1	44	3	1	0
1	45	3	9	0
1	46	3	3	0
1	47	3	1	0
1	48	3	9	0
1	49	3	4	0
1	50	3	5	0
1	51	3	8	0
1	52	3	3	0
1	53	3	8	0
1	54	3	2	0
1	55	3	9	0
1	56	3	4	0
1	57	3	1	0
1	58	3	11	0
1	59	3	11	0
1	62	3	1	0
1	63	3	2	0
1	64	3	10	0
1	65	3	12	0
1	66	3	1	0
1	67	3	7	0
1	69	3	8	0
1	70	3	5	0
1	72	3	8	0
1	73	3	4	0
1	74	3	8	0
1	75	3	1	0
1	76	3	3	0
1	80	3	8	0
1	83	3	2	0
1	84	3	2	0
1	85	3	11	0
1	86	3	12	0
1	87	3	1	0
1	88	3	3	0
1	92	3	12	0
1	93	3	1	0
1	94	3	3	0
1	96	3	3	0
1	98	3	3	0
1	99	3	9	0
1	100	3	2	0
1	102	3	12	0
1	103	3	1	0
1	105	3	6	0
1	106	3	1	0
1	107	3	2	0
1	108	3	8	0
1	109	3	1	0
1	110	3	2	0
1	111	3	12	0
1	112	3	1	0
1	113	3	6	0
1	114	3	7	0
1	115	3	1	0
1	116	3	12	0
1	117	3	7	0
1	118	3	6	0
1	119	3	9	0
1	120	3	4	0
1	121	3	6	0
1	122	3	7	0
1	123	3	6	0
1	124	3	7	0
1	125	3	6	0
1	126	3	1	0
1	127	3	12	0
1	128	3	8	0
1	129	3	5	0
1	130	3	6	0
1	131	3	6	0
1	136	3	7	0
1	137	3	6	0
1	138	3	4	0
1	139	3	9	0
1	140	3	8	0
1	141	3	5	0
1	142	3	11	0
1	143	3	2	0
1	144	3	6	0
1	145	3	7	0
1	146	3	5	0
1	148	3	7	0
1	149	3	12	0
1	151	3	5	0
1	152	3	8	0
1	153	3	12	0
1	155	3	10	0
1	156	3	3	0
1	157	3	5	0
1	159	3	6	0
1	160	3	1	0
1	161	3	12	0
1	163	3	7	0
1	164	3	3	0
1	165	3	10	0
1	166	3	6	0
1	167	3	7	0
1	168	3	4	0
1	169	3	7	0
1	170	3	6	0
1	171	3	9	0
1	172	3	4	0
1	173	3	6	0
1	174	3	5	0
1	175	3	2	0
1	176	3	12	0
1	177	3	1	0
1	178	3	7	0
1	179	3	6	0
1	180	3	5	0
1	181	3	8	0
1	182	3	6	0
1	183	3	10	0
1	184	3	9	0
1	186	3	3	0
1	187	3	10	0
1	188	3	7	0
1	189	3	6	0
1	190	3	7	0
1	191	3	5	0
1	192	3	9	0
1	193	3	4	0
1	194	3	8	0
1	195	3	5	0
1	196	3	8	0
1	197	3	5	0
1	198	3	10	0
1	199	3	3	0
1	200	3	9	0
1	201	3	4	0
1	202	3	3	0
1	203	3	10	0
1	205	3	9	0
1	207	3	3	0
1	208	3	10	0
1	209	3	7	0
1	210	3	6	0
1	211	3	12	0
1	212	3	1	0
1	213	3	6	0
1	214	3	7	0
1	215	3	8	0
1	217	3	3	0
1	218	3	10	0
1	219	3	10	0
1	221	3	7	0
1	222	3	6	0
1	223	3	11	0
1	225	3	9	0
1	226	3	4	0
1	227	3	7	0
1	228	3	6	0
2	3	3	2	0
2	4	3	1	0
2	5	3	1	0
