#src_id	dest_id	edge_type
0	5	4
0	7	4
0	11	4
0	12	4
0	14	4
0	15	4
0	19	4
0	21	4
0	23	4
0	25	4
0	29	4
0	30	4
0	34	4
0	39	4
0	43	4
0	44	4
0	47	4
0	51	4
0	53	4
0	54	4
0	56	4
0	64	4
0	68	4
0	70	4
0	71	4
0	75	4
0	77	4
0	78	4
0	82	4
0	83	4
0	88	4
0	89	4
0	90	4
0	91	4
0	95	4
0	97	4
0	98	4
0	100	4
0	101	4
0	103	4
0	109	4
0	110	4
0	112	4
0	125	4
0	132	4
0	134	4
0	135	4
0	143	4
0	147	4
0	150	4
0	154	4
0	156	4
0	162	4
0	175	4
0	177	4
0	185	4
0	187	4
0	191	4
0	193	4
0	201	4
0	203	4
0	206	4
0	212	4
0	214	4
0	216	4
0	218	4
0	220	4
0	224	4
0	226	4
1	16	4
1	30	4
1	60	4
1	61	4
1	79	4
1	81	4
1	104	4
1	134	4
1	158	4
1	162	4
1	204	4
2	10	4
2	13	4
2	15	4
2	16	4
2	18	4
2	21	4
2	32	4
2	39	4
2	40	4
2	43	4
2	49	4
2	52	4
2	57	4
2	60	4
2	61	4
2	62	4
2	63	4
2	66	4
2	68	4
2	71	4
2	76	4
2	77	4
2	78	4
2	81	4
2	82	4
2	84	4
2	87	4
2	89	4
2	90	4
2	91	4
2	93	4
2	94	4
2	95	4
2	96	4
2	97	4
2	101	4
2	106	4
2	107	4
2	108	4
2	113	4
2	115	4
2	120	4
2	124	4
2	126	4
2	132	4
2	135	4
2	144	4
2	146	4
2	147	4
2	148	4
2	150	4
2	152	4
2	154	4
2	157	4
2	158	4
2	159	4
2	164	4
2	180	4
2	185	4
2	186	4
2	192	4
2	195	4
2	202	4
2	204	4
2	206	4
2	207	4
2	216	4
2	220	4
2	222	4
2	224	4
2	225	4
3	15	4
3	39	4
3	46	4
3	63	4
3	71	4
3	77	4
3	81	4
3	90	4
3	91	4
3	101	4
3	110	4
3	132	4
3	135	4
3	150	4
3	154	4
3	185	4
3	216	4
3	220	4
3	224	4
4	7	4
4	11	4
4	15	4
4	16	4
4	21	4
4	23	4
4	25	4
4	30	4
4	44	4
4	47	4
4	54	4
4	68	4
4	70	4
4	75	4
4	77	4
4	79	4
4	82	4
4	89	4
4	98	4
4	100	4
4	101	4
4	103	4
4	104	4
4	109	4
4	132	4
4	134	4
4	143	4
4	147	4
4	156	4
4	158	4
4	162	4
4	175	4
4	177	4
4	212	4
5	16	4
5	25	4
5	30	4
5	32	4
5	39	4
5	43	4
5	52	4
5	57	4
5	60	4
5	61	4
5	62	4
5	63	4
5	66	4
5	71	4
5	75	4
5	78	4
5	81	4
5	82	4
5	84	4
5	87	4
5	90	4
5	91	4
5	93	4
5	95	4
5	96	4
5	104	4
5	106	4
5	112	4
5	126	4
5	134	4
5	135	4
5	147	4
5	150	4
5	154	4
5	158	4
5	160	4
5	162	4
5	164	4
5	202	4
5	204	4
5	212	4
5	222	4
5	224	4
6	15	4
6	77	4
6	101	4
6	132	4
7	10	4
7	11	4
7	13	4
7	16	4
7	18	4
7	21	4
7	22	4
7	26	4
7	28	4
7	30	4
7	32	4
7	34	4
7	38	4
7	39	4
7	42	4
7	43	4
7	45	4
7	46	4
7	50	4
7	52	4
7	53	4
7	55	4
7	57	4
7	58	4
7	59	4
7	60	4
7	61	4
7	62	4
7	63	4
7	66	4
7	68	4
7	71	4
7	72	4
7	74	4
7	76	4
7	78	4
7	79	4
7	81	4
7	82	4
7	83	4
7	84	4
7	87	4
7	88	4
7	90	4
7	91	4
7	93	4
7	94	4
7	95	4
7	96	4
7	97	4
7	100	4
7	102	4
7	106	4
7	107	4
7	108	4
7	110	4
7	112	4
7	113	4
7	115	4
7	120	4
7	126	4
7	131	4
7	134	4
7	135	4
7	138	4
7	144	4
7	146	4
7	147	4
7	148	4
7	150	4
7	152	4
7	154	4
7	157	4
7	158	4
7	159	4
7	160	4
7	162	4
7	164	4
7	170	4
7	171	4
7	173	4
7	174	4
7	176	4
7	180	4
7	185	4
7	186	4
7	189	4
7	190	4
7	192	4
7	197	4
7	202	4
7	204	4
7	206	4
7	207	4
7	210	4
7	212	4
7	217	4
7	220	4
7	222	4
7	224	4
7	225	4
7	228	4
8	39	4
8	66	4
8	71	4
8	79	4
8	90	4
8	91	4
8	96	4
8	104	4
8	106	4
8	135	4
8	147	4
8	150	4
8	154	4
8	158	4
8	185	4
8	189	4
8	220	4
8	224	4
9	15	4
9	21	4
9	30	4
9	60	4
9	61	4
9	77	4
9	81	4
9	87	4
9	89	4
9	101	4
9	132	4
9	134	4
9	143	4
9	162	4
9	204	4
9	212	4
10	15	4
10	23	4
10	25	4
10	30	4
10	44	4
10	47	4
10	54	4
10	77	4
10	101	4
10	103	4
10	109	4
10	132	4
10	134	4
10	143	4
10	162	4
10	175	4
10	177	4
11	15	4
11	16	4
11	18	4
11	21	4
11	30	4
11	32	4
11	35	4
11	39	4
11	44	4
11	47	4
11	50	4
11	52	4
11	57	4
11	60	4
11	61	4
11	62	4
11	63	4
11	66	4
11	67	4
11	71	4
11	75	4
11	77	4
11	81	4
11	83	4
11	87	4
11	89	4
11	90	4
11	91	4
11	94	4
11	95	4
11	96	4
11	101	4
11	104	4
11	105	4
11	106	4
11	109	4
11	112	4
11	115	4
11	120	4
11	126	4
11	132	4
11	134	4
11	135	4
11	137	4
11	146	4
11	147	4
11	148	4
11	150	4
11	154	4
11	157	4
11	158	4
11	159	4
11	160	4
11	162	4
11	172	4
11	177	4
11	178	4
11	185	4
11	186	4
11	204	4
11	207	4
11	212	4
11	213	4
11	216	4
11	217	4
11	220	4
11	224	4
11	228	4
12	13	4
12	16	4
12	18	4
12	21	4
12	26	4
12	32	4
12	39	4
12	43	4
12	46	4
12	52	4
12	57	4
12	60	4
12	61	4
12	62	4
12	63	4
12	66	4
12	68	4
12	71	4
12	76	4
12	78	4
12	79	4
12	81	4
12	82	4
12	84	4
12	87	4
12	90	4
12	91	4
12	93	4
12	94	4
12	95	4
12	96	4
12	97	4
12	106	4
12	107	4
12	108	4
12	113	4
12	115	4
12	120	4
12	126	4
12	135	4
12	144	4
12	146	4
12	147	4
12	148	4
12	150	4
12	152	4
12	154	4
12	157	4
12	158	4
12	159	4
12	164	4
12	171	4
12	173	4
12	180	4
12	185	4
12	186	4
12	192	4
12	202	4
12	204	4
12	206	4
12	207	4
12	220	4
12	222	4
12	224	4
12	225	4
13	23	4
13	30	4
13	44	4
13	47	4
13	77	4
13	101	4
13	103	4
13	109	4
13	112	4
13	132	4
13	134	4
13	150	4
13	162	4
13	175	4
13	177	4
14	16	4
14	21	4
14	32	4
14	39	4
14	52	4
14	57	4
14	60	4
14	61	4
14	62	4
14	63	4
14	66	4
14	71	4
14	77	4
14	78	4
14	81	4
14	82	4
14	84	4
14	87	4
14	89	4
14	91	4
14	93	4
14	94	4
14	95	4
14	96	4
14	101	4
14	106	4
14	113	4
14	115	4
14	120	4
14	126	4
14	132	4
14	135	4
14	147	4
14	154	4
14	158	4
14	164	4
14	204	4
14	222	4
15	16	4
15	18	4
15	21	4
15	22	4
15	25	4
15	26	4
15	28	4
15	30	4
15	32	4
15	34	4
15	35	4
15	38	4
15	39	4
15	41	4
15	42	4
15	43	4
15	45	4
15	46	4
15	48	4
15	50	4
15	52	4
15	53	4
15	55	4
15	57	4
15	58	4
15	59	4
15	60	4
15	61	4
15	62	4
15	63	4
15	66	4
15	67	4
15	68	4
15	69	4
15	71	4
15	72	4
15	74	4
15	75	4
15	76	4
15	78	4
15	79	4
15	81	4
15	82	4
15	83	4
15	84	4
15	87	4
15	88	4
15	90	4
15	91	4
15	93	4
15	94	4
15	95	4
15	96	4
15	97	4
15	98	4
15	100	4
15	102	4
15	104	4
15	105	4
15	106	4
15	107	4
15	108	4
15	110	4
15	112	4
15	113	4
15	115	4
15	118	4
15	120	4
15	121	4
15	123	4
15	126	4
15	129	4
15	130	4
15	131	4
15	134	4
15	135	4
15	136	4
15	138	4
15	140	4
15	142	4
15	144	4
15	146	4
15	147	4
15	148	4
15	150	4
15	152	4
15	154	4
15	155	4
15	157	4
15	158	4
15	159	4
15	160	4
15	162	4
15	164	4
15	166	4
15	170	4
15	171	4
15	173	4
15	174	4
15	176	4
15	179	4
15	180	4
15	182	4
15	185	4
15	186	4
15	189	4
15	190	4
15	192	4
15	194	4
15	197	4
15	198	4
15	201	4
15	202	4
15	204	4
15	206	4
15	207	4
15	210	4
15	212	4
15	214	4
15	215	4
15	217	4
15	220	4
15	222	4
15	224	4
15	225	4
15	228	4
16	19	4
16	21	4
16	23	4
16	25	4
16	27	4
16	29	4
16	30	4
16	34	4
16	39	4
16	43	4
16	44	4
16	46	4
16	47	4
16	49	4
16	51	4
16	53	4
16	54	4
16	56	4
16	63	4
16	64	4
16	68	4
16	70	4
16	71	4
16	75	4
16	77	4
16	78	4
16	81	4
16	82	4
16	83	4
16	87	4
16	88	4
16	89	4
16	90	4
16	91	4
16	95	4
16	97	4
16	98	4
16	100	4
16	101	4
16	103	4
16	109	4
16	110	4
16	112	4
16	118	4
16	125	4
16	132	4
16	134	4
16	135	4
16	137	4
16	141	4
16	143	4
16	147	4
16	150	4
16	154	4
16	156	4
16	162	4
16	168	4
16	174	4
16	175	4
16	177	4
16	185	4
16	187	4
16	191	4
16	193	4
16	195	4
16	201	4
16	203	4
16	206	4
16	210	4
16	212	4
16	214	4
16	216	4
16	218	4
16	220	4
16	222	4
16	224	4
16	226	4
16	228	4
17	158	4
18	23	4
18	25	4
18	30	4
18	44	4
18	47	4
18	54	4
18	68	4
18	77	4
18	101	4
18	103	4
18	109	4
18	132	4
18	134	4
18	143	4
18	162	4
18	175	4
18	177	4
18	212	4
18	226	4
19	21	4
19	39	4
19	52	4
19	57	4
19	60	4
19	61	4
19	62	4
19	63	4
19	66	4
19	71	4
19	81	4
19	90	4
19	91	4
19	94	4
19	96	4
19	106	4
19	115	4
19	126	4
19	135	4
19	146	4
19	147	4
19	148	4
19	150	4
19	154	4
19	157	4
19	158	4
19	159	4
19	185	4
19	186	4
19	204	4
19	207	4
19	220	4
19	224	4
21	23	4
21	25	4
21	26	4
21	29	4
21	30	4
21	32	4
21	38	4
21	39	4
21	44	4
21	46	4
21	47	4
21	49	4
21	50	4
21	52	4
21	54	4
21	56	4
21	60	4
21	61	4
21	62	4
21	63	4
21	66	4
21	68	4
21	70	4
21	71	4
21	73	4
21	76	4
21	77	4
21	79	4
21	81	4
21	82	4
21	84	4
21	87	4
21	88	4
21	90	4
21	91	4
21	93	4
21	95	4
21	96	4
21	98	4
21	101	4
21	103	4
21	104	4
21	106	4
21	107	4
21	109	4
21	112	4
21	114	4
21	119	4
21	122	4
21	126	4
21	129	4
21	131	4
21	132	4
21	134	4
21	135	4
21	136	4
21	139	4
21	141	4
21	143	4
21	147	4
21	150	4
21	154	4
21	156	4
21	158	4
21	160	4
21	162	4
21	163	4
21	164	4
21	167	4
21	168	4
21	170	4
21	172	4
21	173	4
21	175	4
21	177	4
21	179	4
21	180	4
21	185	4
21	186	4
21	189	4
21	193	4
21	195	4
21	196	4
21	199	4
21	201	4
21	202	4
21	204	4
21	206	4
21	212	4
21	220	4
21	224	4
21	226	4
22	30	4
22	44	4
22	47	4
