#node_id	complete_name	char_label	state_label	n.state_in_matrix	edgecount	in_edgecount	out_edgecount	number_of_taxa	taxa
0	Skull: dorsal profile|'flat '	Skull: dorsal profile	'flat '	0	157	6	151	4	Tapte,Hyrex,Trios,Acein
1	Skull: dorsal profile|'concave '	Skull: dorsal profile	'concave '	1	215	25	190	13	Ronfi,Aegbe,Histu,Dicsu,Brabr,Coean,Dicar,Menar,Telfo,Diaag,Hopte,Diale,Rhiso
2	Skull: dorsal profile|'very concave '	Skull: dorsal profile	'very concave '	2	155	3	152	4	Cersi,Dicbi,Larsa,Rhiun
3	External auditory pseudo-meatus|'open '	External auditory pseudo-meatus	'open '	0	207	14	193	9	Tapte,Ronfi,Aegbe,Histu,Cersi,Dicbi,Dicsu,Menar,Acein
4	External auditory pseudo-meatus|'partly closed '	External auditory pseudo-meatus	'partly closed '	1	192	13	179	7	Hyrex,Trios,Brabr,Telfo,Larsa,Hopte,Diale
5	External auditory pseudo-meatus|'totally closed (circular) '	External auditory pseudo-meatus	'totally closed (circular) '	2	182	6	176	5	Coean,Dicar,Diaag,Rhiun,Rhiso
6	Skull: back of tooth row|'in the posterior half '	Skull: back of tooth row	'in the posterior half '	0	223	108	115	19	Tapte,Hyrex,Trios,Ronfi,Aegbe,Histu,Cersi,Dicsu,Brabr,Dicar,Menar,Telfo,Diaag,Larsa,Hopte,Acein,Diale,Rhiun,Rhiso
7	Skull: back of tooth row|'in the anterior half '	Skull: back of tooth row	'in the anterior half '	1	123	8	115	2	Dicbi,Coean
8	Skull|'dolichocephalic '	Skull	'dolichocephalic '	0	209	24	185	9	Tapte,Hyrex,Aegbe,Histu,Cersi,Dicsu,Coean,Dicar,Menar
9	Skull|'brachycephalic '	Skull	'brachycephalic '	1	211	26	185	12	Trios,Ronfi,Dicbi,Brabr,Telfo,Diaag,Larsa,Hopte,Acein,Diale,Rhiun,Rhiso
10	Nasal bones: rostral end|'narrow '	Nasal bones: rostral end	'narrow '	0	207	46	161	13	Tapte,Hyrex,Trios,Ronfi,Aegbe,Brabr,Dicar,Menar,Telfo,Diaag,Hopte,Acein,Diale
11	Nasal bones: rostral end|'broad '	Nasal bones: rostral end	'broad '	1	155	6	149	4	Histu,Dicsu,Rhiun,Rhiso
