#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
0	7	2	1	0
0	8	2	1	0
0	13	2	1	0
0	16	2	1	0
1	5	3	1	0
1	6	3	1	0
1	7	3	1	0
1	8	3	1	0
11	1	2	2	0
1	13	3	1	0
1	14	3	1	0
1	15	3	1	0
1	16	3	2	0
1	17	3	1	0
4	2	2	1	0
2	7	3	1	0
2	8	3	1	0
2	9	3	1	0
2	12	3	1	0
2	15	3	1	0
2	17	2	2	0
3	5	3	2	0
3	6	3	1	0
3	7	3	1	0
3	9	3	2	0
10	3	2	2	0
3	12	3	2	0
3	13	3	1	0
3	14	3	1	0
3	17	3	1	0
18	3	2	3	0
4	8	2	1	0
4	12	2	1	0
4	17	2	1	0
5	9	3	1	0
5	10	3	1	0
5	11	3	1	0
5	12	3	1	0
5	13	3	1	0
5	15	3	1	0
5	16	3	1	0
5	17	3	1	0
5	18	3	1	0
6	9	3	1	0
6	11	3	1	0
6	12	3	1	0
6	14	3	1	0
6	17	3	1	0
6	18	3	1	0
7	8	3	2	0
7	9	3	1	0
7	10	3	1	0
7	13	3	2	0
7	14	3	1	0
7	15	3	1	0
7	16	3	2	0
7	17	3	1	0
7	18	3	1	0
8	12	3	1	0
8	13	3	2	0
8	16	3	2	0
8	17	3	1	0
9	12	3	2	0
9	15	3	1	0
9	17	3	1	0
9	18	3	2	0
10	13	3	1	0
10	14	3	1	0
10	17	3	1	0
10	18	3	1	0
11	14	3	1	0
11	15	3	1	0
11	16	3	1	0
11	17	3	1	0
12	17	3	1	0
12	18	3	2	0
13	16	3	2	0
13	17	3	1	0
14	17	3	1	0
14	18	3	1	0
15	16	3	1	0
15	17	3	1	0
