#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
0	6	2	4	0
0	10	2	4	0
0	13	2	4	0
16	0	2	2	0
0	18	2	4	0
0	20	2	4	0
0	22	2	4	0
0	24	2	4	0
0	28	2	4	0
0	33	2	4	0
0	42	2	4	0
0	50	2	4	0
0	52	2	4	0
0	55	2	4	0
0	58	2	4	0
0	59	2	4	0
60	0	2	2	0
61	0	2	2	0
0	67	2	4	0
0	69	2	4	0
81	0	2	1	0
0	111	2	4	0
0	133	2	4	0
0	142	2	4	0
0	149	2	4	0
0	153	2	4	0
0	155	2	4	0
158	0	2	1	0
0	176	2	4	0
0	184	2	4	0
0	186	2	4	0
0	190	2	4	0
0	192	2	4	0
0	200	2	4	0
0	202	2	4	0
204	0	2	2	0
0	211	2	4	0
0	213	2	4	0
0	215	2	4	0
0	217	2	4	0
0	219	2	4	0
0	223	2	4	0
0	225	2	4	0
15	1	2	1	0
1	17	2	13	0
21	1	2	2	0
39	1	2	1	0
43	1	2	4	0
68	1	2	2	0
71	1	2	1	0
77	1	2	1	0
78	1	2	4	0
82	1	2	3	0
89	1	2	2	0
90	1	2	2	0
91	1	2	1	0
95	1	2	3	0
97	1	2	7	0
101	1	2	1	0
132	1	2	1	0
1	133	2	13	0
135	1	2	1	0
147	1	2	1	0
150	1	2	1	0
154	1	2	1	0
185	1	2	4	0
206	1	2	4	0
216	1	2	5	0
220	1	2	3	0
224	1	2	2	0
2	14	2	4	0
2	17	2	4	0
2	19	2	4	0
2	20	2	4	0
30	2	2	1	0
2	31	2	4	0
2	41	2	4	0
2	48	2	4	0
2	64	2	4	0
2	65	2	4	0
2	85	2	4	0
2	86	2	4	0
2	92	2	4	0
2	114	2	4	0
2	116	2	4	0
2	119	2	4	0
2	123	2	4	0
2	127	2	4	0
134	2	2	1	0
2	145	2	4	0
2	149	2	4	0
2	151	2	4	0
2	153	2	4	0
162	2	2	1	0
2	163	2	4	0
2	165	2	4	0
2	181	2	4	0
2	182	2	4	0
2	184	2	4	0
2	187	2	4	0
2	193	2	4	0
2	194	2	4	0
2	203	2	4	0
2	205	2	4	0
2	208	2	4	0
2	215	2	4	0
2	219	2	4	0
2	221	2	4	0
2	223	2	4	0
2	226	2	4	0
16	3	2	2	0
25	3	2	3	0
30	3	2	1	0
75	3	2	3	0
82	3	2	3	0
104	3	2	2	0
134	3	2	1	0
147	3	2	1	0
3	149	2	9	0
3	153	2	9	0
158	3	2	1	0
162	3	2	1	0
3	184	2	9	0
212	3	2	2	0
3	215	2	9	0
3	219	2	9	0
3	223	2	9	0
4	6	2	7	0
4	17	2	7	0
4	20	2	7	0
4	22	2	7	0
4	24	2	7	0
39	4	2	1	0
4	58	2	7	0
4	59	2	7	0
63	4	2	3	0
4	69	2	7	0
71	4	2	1	0
81	4	2	1	0
90	4	2	2	0
91	4	2	1	0
4	102	2	7	0
4	133	2	7	0
135	4	2	1	0
4	142	2	7	0
150	4	2	1	0
154	4	2	1	0
4	155	2	7	0
4	176	2	7	0
4	211	2	7	0
224	4	2	2	0
15	5	2	1	0
5	17	2	5	0
5	24	2	5	0
5	31	2	5	0
5	65	2	5	0
77	5	2	1	0
5	85	2	5	0
5	86	2	5	0
5	92	2	5	0
101	5	2	1	0
5	111	2	5	0
5	127	2	5	0
132	5	2	1	0
5	133	2	5	0
5	149	2	5	0
5	153	2	5	0
5	161	2	5	0
5	165	2	5	0
5	183	2	5	0
5	203	2	5	0
5	211	2	5	0
5	221	2	5	0
5	223	2	5	0
10	6	2	13	0
11	6	2	4	0
13	6	2	12	0
16	6	2	2	0
18	6	2	12	0
21	6	2	2	0
22	6	2	17	0
26	6	2	7	0
28	6	2	14	0
30	6	2	1	0
