#src_id	dest_id	edge_type	number_common_taxa	percent_common_taxa
1	0	2	10	0
2	0	2	5	0
3	0	2	7	0
5	0	2	4	0
7	0	2	4	0
9	0	2	7	0
10	0	2	8	0
11	0	2	2	0
14	0	2	3	0
17	0	2	29	0
20	0	2	3	0
22	0	2	1	0
23	0	2	20	0
24	0	2	9	0
25	0	2	11	0
26	0	2	6	0
27	0	2	11	0
28	0	2	31	0
29	0	2	7	0
30	0	2	24	0
31	0	2	6	0
32	0	2	12	0
33	0	2	11	0
34	0	2	3	0
35	0	2	28	0
36	0	2	2	0
37	0	2	14	0
38	0	2	9	0
39	0	2	1	0
40	0	2	1	0
41	0	2	5	0
42	0	2	2	0
43	0	2	17	0
44	0	2	13	0
45	0	2	1	0
46	0	2	15	0
47	0	2	14	0
48	0	2	6	0
49	0	2	8	0
50	0	2	1	0
51	0	2	7	0
52	0	2	10	0
53	0	2	8	0
54	0	2	2	0
55	0	2	1	0
56	0	2	1	0
57	0	2	7	0
58	0	2	8	0
59	0	2	7	0
60	0	2	3	0
62	0	2	20	0
64	0	2	5	0
66	0	2	14	0
69	0	2	1	0
71	0	2	6	0
72	0	2	6	0
73	0	2	1	0
74	0	2	5	0
76	0	2	4	0
78	0	2	1	0
80	0	2	2	0
82	0	2	1	0
83	0	2	2	0
84	0	2	2	0
86	0	2	4	0
88	0	2	7	0
89	0	2	12	0
91	0	2	5	0
92	0	2	12	0
93	0	2	6	0
94	0	2	4	0
95	0	2	2	0
96	0	2	5	0
97	0	2	6	0
98	0	2	4	0
99	0	2	8	0
100	0	2	4	0
101	0	2	3	0
102	0	2	7	0
103	0	2	2	0
104	0	2	21	0
105	0	2	2	0
106	0	2	1	0
107	0	2	11	0
108	0	2	3	0
109	0	2	1	0
110	0	2	2	0
111	0	2	6	0
112	0	2	5	0
113	0	2	5	0
114	0	2	2	0
115	0	2	3	0
116	0	2	2	0
117	0	2	2	0
118	0	2	2	0
119	0	2	2	0
120	0	2	5	0
121	0	2	8	0
122	0	2	2	0
123	0	2	13	0
124	0	2	17	0
125	0	2	6	0
126	0	2	7	0
127	0	2	6	0
128	0	2	1	0
129	0	2	4	0
130	0	2	6	0
131	0	2	5	0
