#src_id	dest_id	edge_type
0	16	4
1	5	4
1	6	4
1	7	4
1	8	4
1	11	4
1	13	4
1	16	4
1	20	4
1	22	4
1	24	4
1	26	4
1	31	4
1	32	4
1	35	4
1	39	4
1	40	4
1	43	4
1	45	4
1	46	4
1	50	4
1	55	4
1	61	4
1	62	4
1	63	4
1	64	4
1	65	4
1	66	4
1	67	4
1	68	4
1	69	4
1	70	4
1	71	4
1	72	4
1	73	4
1	74	4
1	75	4
1	76	4
1	77	4
1	78	4
1	80	4
1	81	4
1	82	4
1	83	4
1	84	4
1	85	4
1	87	4
1	91	4
1	99	4
1	100	4
1	101	4
1	102	4
1	103	4
1	105	4
1	106	4
1	107	4
1	108	4
1	109	4
1	114	4
1	117	4
1	118	4
1	121	4
1	125	4
1	128	4
1	129	4
1	130	4
1	133	4
1	134	4
1	136	4
1	137	4
1	139	4
2	5	4
2	6	4
2	7	4
2	8	4
2	9	4
2	11	4
2	12	4
2	13	4
2	14	4
2	15	4
2	16	4
2	20	4
2	22	4
2	24	4
2	26	4
2	28	4
2	31	4
2	32	4
2	34	4
2	35	4
2	36	4
2	37	4
2	39	4
2	40	4
2	43	4
2	45	4
2	46	4
2	48	4
2	50	4
2	52	4
2	53	4
2	54	4
2	55	4
2	56	4
2	57	4
2	61	4
2	62	4
2	63	4
2	64	4
2	65	4
2	66	4
2	67	4
2	68	4
2	69	4
2	70	4
2	71	4
2	72	4
2	73	4
2	74	4
2	75	4
2	76	4
2	77	4
2	78	4
2	80	4
2	81	4
2	82	4
2	83	4
2	84	4
2	85	4
2	86	4
2	87	4
2	90	4
2	91	4
2	93	4
2	96	4
2	99	4
2	100	4
2	101	4
2	102	4
2	103	4
2	105	4
2	106	4
2	107	4
2	108	4
2	109	4
2	113	4
2	114	4
2	115	4
2	116	4
2	117	4
2	118	4
2	119	4
2	121	4
2	122	4
2	123	4
2	125	4
2	126	4
2	127	4
2	128	4
2	129	4
2	130	4
2	133	4
2	134	4
2	136	4
2	137	4
2	139	4
3	5	4
3	6	4
3	7	4
3	8	4
3	11	4
3	13	4
3	16	4
3	20	4
3	22	4
3	24	4
3	26	4
3	31	4
3	32	4
3	35	4
3	39	4
3	40	4
3	42	4
3	43	4
3	45	4
3	46	4
3	50	4
3	55	4
3	61	4
3	62	4
3	63	4
3	64	4
3	65	4
3	66	4
3	67	4
3	68	4
3	69	4
3	70	4
3	71	4
3	72	4
3	73	4
3	74	4
3	75	4
3	76	4
3	77	4
3	78	4
3	80	4
3	81	4
3	82	4
3	83	4
3	84	4
3	85	4
3	87	4
3	91	4
3	99	4
3	100	4
3	101	4
3	102	4
3	103	4
3	105	4
3	106	4
3	107	4
3	108	4
3	109	4
3	111	4
3	114	4
3	117	4
3	118	4
3	121	4
3	125	4
3	128	4
3	129	4
3	130	4
3	133	4
3	134	4
3	136	4
3	137	4
3	139	4
4	7	4
4	22	4
4	39	4
4	71	4
4	74	4
4	78	4
4	83	4
4	91	4
4	108	4
4	117	4
4	118	4
5	9	4
5	10	4
5	14	4
5	16	4
5	19	4
5	21	4
5	25	4
5	27	4
5	29	4
5	30	4
5	32	4
5	33	4
5	34	4
5	36	4
5	37	4
5	38	4
5	39	4
5	40	4
5	41	4
5	42	4
5	44	4
5	45	4
5	47	4
5	48	4
5	49	4
5	50	4
5	51	4
5	52	4
5	53	4
5	54	4
5	55	4
5	56	4
5	57	4
5	58	4
5	59	4
5	60	4
5	64	4
5	65	4
5	69	4
5	73	4
5	76	4
5	79	4
5	82	4
5	83	4
5	84	4
5	85	4
5	86	4
5	87	4
5	88	4
5	89	4
5	92	4
5	93	4
5	94	4
5	95	4
5	96	4
5	97	4
5	98	4
