#node_id	complete_name	char_label	state_label	n.state_in_matrix	edgecount	in_edgecount	out_edgecount	number_of_taxa	taxa
0	char. 1|1	char. 1	1	1	139	117	22	38	Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Xenusion,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Hallucigenia_hongmeia,Luolishania,Collins_monster_Emu_Bay,Orstenotubulus,Carbotubulus,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Megadictyon,Jianshanopodia,Hadranax,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
1	char. 2|1	char. 2	1	1	70	23	47	10	Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
2	char. 3|1	char. 3	1	1	44	5	39	5	Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
3	char. 4|1	char. 4	1	1	68	9	59	7	Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Misszhouia_longicaudata,Kuamaia_lata
4	char. 5|0	char. 5	0	0	128	71	57	25	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Onychodictyon_ferox,Diania,Paucipodia,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia,Anomalocaris,Peytoia,Hurdia,Fuxianhuia,Chengjiangocaris,Leanchoilia,Alalcomenaeus,Supella_longipalpa,Misszhouia_longicaudata,Kuamaia_lata
5	char. 5|1	char. 5	1	1	44	3	41	4	Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis
6	char. 6|0	char. 6	0	0	106	26	80	20	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Onychodictyon_ferox,Diania,Xenusion,Paucipodia,Microdictyon,Antennacanthopodia,Ilyodes,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Megadictyon,Jianshanopodia,Kerygmachela,Pambdelurion,Opabinia
7	char. 6|1	char. 6	1	1	54	4	50	4	Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Luolishania
8	char. 7|0	char. 7	0	0	95	17	78	16	Tubiluchus_Priapulida,Cricocosmia,Aysheaia,Siberion,Onychodictyon_ferox,Onychodictyon_gracilis,Diania,Paucipodia,Microdictyon,Cardiodictyon,Hallucigenia_sparsa,Hallucigenia_fortis,Halobiotus_Eutardigrada,Siberian_Orsten_tardigrade,Jianshanopodia,Kerygmachela
9	char. 7|1	char. 7	1	1	100	16	84	7	Luolishania,Euperipatoides_Onychophora,Actinarctus_Heterotardigrada,Pambdelurion,Anomalocaris,Peytoia,Hurdia
