#src_id	dest_id	edge_type
0	5	4
0	6	4
0	7	4
0	9	4
0	10	4
0	11	4
0	13	4
0	14	4
0	15	4
0	17	4
0	18	4
1	4	4
1	6	4
1	7	4
1	10	4
1	11	4
1	14	4
1	15	4
1	18	4
2	4	4
2	5	4
2	7	4
2	8	4
2	10	4
2	11	4
2	12	4
2	14	4
2	15	4
2	16	4
2	18	4
3	4	4
3	5	4
3	6	4
3	8	4
3	9	4
3	12	4
3	13	4
3	16	4
4	9	4
4	10	4
4	11	4
4	13	4
4	14	4
4	15	4
4	17	4
4	18	4
5	10	4
5	11	4
5	14	4
5	15	4
5	18	4
6	8	4
6	10	4
6	11	4
6	12	4
6	14	4
6	15	4
6	16	4
6	18	4
7	8	4
7	9	4
7	12	4
7	13	4
7	16	4
8	13	4
8	14	4
8	15	4
8	17	4
8	18	4
9	12	4
9	14	4
9	15	4
9	16	4
9	18	4
10	12	4
10	13	4
10	15	4
10	16	4
11	12	4
11	13	4
11	14	4
11	16	4
11	17	4
12	17	4
12	18	4
13	16	4
13	18	4
14	16	4
15	16	4
15	17	4
